STATION,LAT,LON,ELEV(M),X,Y,Z,TEMP,DAY_OF_YEAR
720304,40.1,-75.267,92.1,1242489.90057,-4725000.80048,4086544.48319,54.2,100
720305,33.254,-97.581,319.1,-704407.637035,-5292677.27263,3477725.14179,71.9,100
720306,38.96,-94.371,303.9,-378507.743348,-4951912.13416,3989056.13564,71.0,100
720307,34.861,-86.557,230.1,314657.643944,-5229988.18717,3625355.92947,63.9,100
720308,41.196,-96.112,319.7,-511761.679522,-4779201.23026,4179037.02539,74.9,100
720309,40.947,-91.511,223.7,-127219.752714,-4822941.76451,4158125.92726,69.5,100
720311,33.096,-94.961,110.6,-462548.219131,-5328723.67186,3462943.42145,71.1,100
720312,41.4,-92.946,269.8,-246259.596294,-4785200.00969,4196026.16424,70.0,100
720313,35.613,-100.996,989.1,-990310.132983,-5096603.59243,3693943.67766,72.7,100
720314,31.78,-95.706,128.9,-539579.27653,-5400165.08333,3339786.69524,72.3,100
720315,36.414,-100.75,889.4,-958654.914368,-5049380.88439,3765786.88176,74.3,100
720316,27.779,-97.691,24.1,-755767.337916,-5596396.31565,2954870.37941,77.1,100
720317,38.398,-77.456,64.6,1087067.26359,-4885684.84628,3940202.16176,66.2,100
720318,33.11,-98.555,342.3,-795577.651212,-5288601.70625,3464370.68125,73.9,100
720319,39.016,-87.65,140.8,203473.620066,-4958145.36836,3993785.91114,61.7,100
720320,32.354,-97.434,260.3,-697816.458524,-5348039.72217,3393796.41177,71.6,100
720321,45.654,-84.519,193.6,426576.610119,-4445619.33321,4538588.01859,63.3,100
720322,48.299,-116.56,648.3,-1900941.4748,-3802721.02925,4739542.23429,47.4,100
720323,30.243,-98.91,516.6,-854207.33067,-5448632.10933,3193933.98101,71.2,100
720324,40.435,-75.382,160.3,1226948.82724,-4704269.9294,4114972.71412,56.4,100
720326,42.219,-92.026,257.6,-167250.750788,-4727920.95434,4263823.16349,68.2,100
720327,44.892,-91.868,272.8,-147542.478868,-4523857.55789,4479046.17108,71.1,100
720328,39.0,-80.274,498.4,838553.378459,-4892370.74824,3992630.67603,59.1,100
720329,34.112,-117.688,438.6,-2456483.46365,-4681293.47782,3556985.22199,53.2,100
720330,38.607,-87.727,161.2,197939.46852,-4986865.78363,3958418.69089,65.0,100
720331,36.226,-90.037,79.9,-3326.55334193,-5151282.17091,3748497.65857,68.7,100
720333,33.898,-117.602,162.5,-2455499.29714,-4696537.64797,3537151.84376,56.2,100
720334,39.167,-77.167,164.3,1099837.32581,-4828078.98561,4006811.93846,61.3,100
720339,32.15,-111.167,737.0,-1951984.84048,-5041127.24309,3374917.83481,74.7,100
720339,32.15,-111.167,737.0,-1951984.84048,-5041127.24309,3374917.83481,75.2,100
720340,44.626,-86.201,192.6,301269.600509,-4537029.03261,4457999.28386,67.3,100
720342,35.864,-98.421,471.8,-757890.639465,-5119440.80845,3716249.29979,71.9,100
720343,44.333,-89.02,251.8,78160.3819024,-4569207.43654,4434809.35584,70.4,100
720344,42.732,-95.556,373.7,-454319.43574,-4670436.30147,4305933.95867,65.8,100
720345,42.796,-109.807,2159.8,-1588869.02808,-4411562.32747,4312367.31347,32.8,100
720346,30.75,-92.688,32.6,-257289.646913,-5480206.11367,3242121.15654,67.5,100
720347,33.598,-83.139,206.4,635321.934033,-5280149.93327,3509507.37069,65.1,100
720348,33.154,-83.241,117.0,629100.733647,-5308101.74644,3468334.18086,63.4,100
720351,41.226,-92.491,256.0,-208805.812686,-4799740.27616,4181501.60024,68.1,100
720353,36.611,-83.738,351.7,559133.83336,-5095552.85684,3783038.77479,57.8,100
720354,34.699,-99.338,436.8,-851834.46568,-5180297.4877,3610712.02298,74.9,100
720355,39.6,-78.767,236.2,958669.400951,-4827041.19817,4044014.95079,62.8,100
720357,35.95,-96.773,279.2,-609668.406165,-5133407.00629,3723865.79887,71.5,100
720358,35.473,-98.006,431.9,-724309.273011,-5149815.19218,3680979.41425,70.3,100
720359,35.275,-96.675,312.1,-605959.642028,-5177784.93491,3662996.85314,71.2,100
720361,31.043,-86.312,95.7,351823.786625,-5458289.26354,3270028.40742,70.5,100
720362,31.846,-86.611,137.5,320591.24665,-5413720.51723,3346010.26502,68.8,100
720363,31.951,-85.129,86.9,459972.43048,-5397445.20414,3355868.37821,70.0,100
720365,42.074,-124.29,139.9,-2671330.84077,-3917493.11481,4251802.28946,53.2,100
720367,45.372,-94.746,359.7,-371373.63246,-4473125.5423,4516742.76668,58.7,100
720368,43.987,-95.783,494.7,-463182.235474,-4573440.66803,4407396.0096,58.8,100
720369,43.743,-111.098,1898.6,-1661824.58663,-4307166.72607,4388819.04051,36.2,100
720371,41.96,-85.593,251.2,365006.095072,-4736113.05208,4242469.02398,66.8,100
720373,28.0,-82.164,46.9,768368.71197,-5583136.66918,2976527.29555,75.1,100
720374,27.916,-82.449,2.4,741156.075269,-5591176.9796,2968284.03813,74.5,100
720375,46.007,-83.743,202.7,483679.397285,-4411464.72957,4565933.81971,57.1,100
720376,34.229,-86.256,314.6,344729.243163,-5268004.75011,3567654.04861,66.1,100
720377,35.633,-91.167,0.0,-105699.071264,-5188751.66171,3695171.50223,67.8,100
720378,41.033,-80.417,327.1,802154.300762,-4751193.70384,4165403.09893,55.1,100
720378,41.033,-80.417,327.1,802154.300762,-4751193.70384,4165403.09893,60.6,100
720379,36.855,-84.856,293.5,458149.045924,-5089315.75878,3804705.66692,60.0,100
720381,30.291,-87.672,4.9,223900.377095,-5507511.30323,3198272.04603,69.7,100
720383,30.704,-87.023,54.3,285064.722906,-5481459.48871,3237748.38419,70.0,100
720384,38.967,-76.333,5.2,1173273.21612,-4825035.91814,3989472.5545,64.0,100
720385,39.8,-105.766,4113.3,-1334122.68148,-4725390.77921,4063582.4588,26.5,100
720386,45.117,-95.133,344.1,-403377.942061,-4490549.16744,4496777.0193,55.3,100
720388,47.104,-122.287,164.3,-2323244.02383,-3676855.42695,4649762.65324,51.4,100
720391,28.35,-97.717,82.3,-754316.135784,-5566602.82727,3010736.11915,75.1,100
720391,28.35,-97.717,82.3,-754316.135784,-5566602.82727,3010736.11915,75.8,100
720392,31.056,-82.767,57.3,688552.265561,-5425320.80637,3271243.42193,65.6,100
720392,31.056,-82.767,57.3,688552.265561,-5425320.80637,3271243.42193,65.4,100
720393,34.85,-102.333,1153.1,-1119420.03924,-5119954.3537,3624881.93561,75.3,100
720393,34.85,-102.333,1153.1,-1119420.03924,-5119954.3537,3624881.93561,73.7,100
720394,34.1,-93.066,55.8,-282786.871406,-5279525.74479,3555668.3873,67.9,100
720394,34.1,-93.066,55.8,-282786.871406,-5279525.74479,3555668.3873,68.8,100
720395,28.95,-98.517,131.1,-827248.842312,-5524038.8942,3069116.5482,75.3,100
720395,28.95,-98.517,131.1,-827248.842312,-5524038.8942,3069116.5482,75.9,100
720397,39.217,-82.233,233.2,668739.19735,-4902915.16659,4011157.78575,54.6,100
720397,39.217,-82.233,233.2,668739.19735,-4902915.16659,4011157.78575,57.9,100
720401,35.6,-92.45,157.3,-221948.985304,-5187342.23304,3692286.58648,66.1,100
720401,35.6,-92.45,157.3,-221948.985304,-5187342.23304,3692286.58648,66.4,100
720404,33.85,-98.483,304.2,-782247.155075,-5244782.52764,3532810.19092,73.4,100
